id,title,year,language,era,director,lead_actor,lead_gender,imdb_rating,has_action,has_comedy,has_romance,has_songs,has_villain,has_thriller_elements,has_social_message,is_anti_hero,is_family_film,is_based_on_true_story,is_biographical,is_franchise,is_remake,is_sports_film,is_historical,is_horror,is_sci_fi,is_pan_india_blockbuster
tt1620719,Dabangg,2010,hindi,2010s,Abhinav Kashyap,,male,6.3,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1395054,Once Upon a Time in Mumbaai,2010,hindi,2010s,Milan Luthria,,male,7.4,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1438298,Guzaarish,2010,hindi,2010s,Sanjay Leela Bhansali,,male,7.4,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1291465,Raajneeti,2010,hindi,2010s,Prakash Jha,,male,7.1,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1610452,Band Baaja Baaraat,2010,hindi,2010s,Maneesh Sharma,,male,7.2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1573072,Housefull,2010,hindi,2010s,Sajid Khan,,male,5.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1572311,Tees Maar Khan,2010,hindi,2010s,Farah Khan,,male,3.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1373156,Karthik Calling Karthik,2010,hindi,2010s,Vijay Lalwani,,male,7.2,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1455811,Khatta Meetha,2010,hindi,2010s,Priyadarshan,,male,6.2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
znmd_2011,Zindagi Na Milegi Dobara,2011,hindi,2010s,Zoya Akhtar,Hrithik Roshan,male,8.1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0433035,Real Steel,2011,hindi,2010s,Shawn Levy,,male,7.1,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
tt1285241,Don 2,2011,hindi,2010s,Farhan Akhtar,,male,7.1,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt1839596,Rockstar,2011,hindi,2010s,Imtiaz Ali,,male,7.8,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1562871,Ra.One,2011,hindi,2010s,Anubhav Sinha,,male,5.0,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2317337,Vicky Donor,2011,hindi,2010s,Shoojit Sircar,,male,7.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1934231,Delhi Belly,2011,hindi,2010s,Abhinay Deo,,male,7.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1729637,Bodyguard,2011,hindi,2010s,Siddique,,male,4.8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1926313,Pyaar Ka Punchnama,2011,hindi,2010s,Luv Ranjan,,male,7.6,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1948150,Singham,2011,hindi,2010s,Rohit Shetty,,male,6.8,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1708532,Ready,2011,hindi,2010s,Anees Bazmee,,male,5.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1656171,Dam 999,2011,hindi,2010s,Sohan Roy,,male,3.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1694542,Tanu Weds Manu,2011,hindi,2010s,Aanand L. Rai,,male,6.8,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1985981,Desi Boyz,2011,hindi,2010s,Rohit Dhawan,,male,5.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
gangs_of_wasseypur_2012,Gangs of Wasseypur,2012,hindi,2010s,Anurag Kashyap,Manoj Bajpayee,male,8.2,True,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False
kahaani_2012,Kahaani,2012,hindi,2010s,Sujoy Ghosh,Vidya Balan,female,8.1,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt1343727,Dredd,2012,hindi,2010s,Pete Travis,,male,7.1,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
tt1954470,Gangs of Wasseypur – Part 1,2012,hindi,2010s,Anurag Kashyap,,male,8.2,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2082197,Barfi!,2012,hindi,2010s,Anurag Basu,,male,8.1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2283748,OMG – Oh My God!,2012,hindi,2010s,Umesh Shukla,,male,8.1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
tt2176013,Jab Tak Hai Jaan,2012,hindi,2010s,Yash Chopra,,male,6.7,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1787988,Talaash: The Answer Lies Within,2012,hindi,2010s,Reema Kagti,,male,7.3,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2181931,English Vinglish,2012,hindi,2010s,Gauri Shinde,,male,7.8,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2016894,Ek Tha Tiger,2012,hindi,2010s,Kabir Khan,,male,5.7,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1849718,Agneepath,2012,hindi,2010s,Karan Malhotra,,male,6.9,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
tt2077833,Rowdy Rathore,2012,hindi,2010s,Prabhu Deva,,male,5.8,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2172071,Student of the Year,2012,hindi,2010s,Karan Johar,,male,5.3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2112131,Dabangg 2,2012,hindi,2010s,Arbaaz Khan,,male,4.8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2181831,Shahid,2012,hindi,2010s,Hansal Mehta,,male,8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1629715,Miss Lovely,2012,hindi,2010s,Ashim Ahluwalia,,male,7.3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1980986,Housefull 2,2012,hindi,2010s,Sajid Khan,,male,5.5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2168910,Cocktail,2012,hindi,2010s,Homi Adajania,,male,6.3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2356180,Bhaag Milkha Bhaag,2013,hindi,2010s,Rakeysh Omprakash Mehra,,male,8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2112124,Chennai Express,2013,hindi,2010s,Rohit Shetty,,male,6.3,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2350496,The Lunchbox,2013,hindi,2010s,Ritesh Batra,,male,7.8,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2377938,Special 26,2013,hindi,2010s,Neeraj Pandey,,male,8.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False
tt2178470,Yeh Jawaani Hai Deewani,2013,hindi,2010s,Ayan Mukerji,,male,7.3,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1833673,Dhoom 3,2013,hindi,2010s,Vijay Krishna Acharya,,male,5.4,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
tt1837703,The Fifth Estate,2013,hindi,2010s,Bill Condon,,male,6.2,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2199711,Vishwaroopam,2013,hindi,2010s,Kamal Haasan,,male,7.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2213054,Kai Po Che!,2013,hindi,2010s,Abhishek Kapoor,,male,7.8,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2203308,Aashiqui 2,2013,hindi,2010s,Mohit Suri,,male,7.1,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2359810,Raanjhnaa,2013,hindi,2010s,Aanand L. Rai,,male,7.6,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1029231,Krrish 3,2013,hindi,2010s,Rakesh Roshan,,male,5.4,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2855648,Madras Cafe,2013,hindi,2010s,Shoojit Sircar,,male,7.6,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2882328,Ugly,2013,hindi,2010s,Anurag Kashyap,,male,7.9,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt2621000,Jolly LLB,2013,hindi,2010s,Subhash Kapoor,,male,7.5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2215477,Goliyon Ki Rasleela Ram-Leela,2013,hindi,2010s,Sanjay Leela Bhansali,,male,6.4,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1375789,Race 2,2013,hindi,2010s,Abbas Alibhai Burmawalla,,male,5.4,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2224317,Lootera,2013,hindi,2010s,Vikramaditya Motwane,,male,7.4,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
tt2436516,Go Goa Gone,2013,hindi,2010s,Raj Nidimoru,,male,6.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
tt2229842,Table No. 21,2013,hindi,2010s,Aditya Datt,,male,7.2,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
pk_2014,PK,2014,hindi,2010s,Rajkumar Hirani,Aamir Khan,male,8.1,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True
queen_2014,Queen,2014,hindi,2010s,Vikas Bahl,Kangana Ranaut,female,8.1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
tt2980648,The Hundred-Foot Journey,2014,hindi,2010s,Lasse Hallström,,male,7.3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2372222,Kick,2014,hindi,2010s,Sajid Nadiadwala,,male,5.9,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2574698,Gunday,2014,hindi,2010s,Ali Abbas Zafar,,male,2.8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3390572,Haider,2014,hindi,2010s,Vishal Bhardwaj,,male,8.0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
tt2461132,Happy New Year,2014,hindi,2010s,Farah Khan,,male,5.0,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2652092,The Good Lie,2014,hindi,2010s,Philippe Falardeau,,male,7.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2980794,Highway,2014,hindi,2010s,Imtiaz Ali,,male,7.6,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2556308,Holiday: A Soldier Is Never Off Duty,2014,hindi,2010s,A. R. Murugadoss,,male,7.2,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt2372678,2 States,2014,hindi,2010s,Abhishek Varman,,male,6.9,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2905838,Bang Bang!,2014,hindi,2010s,Siddharth Anand,,male,5.7,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3175038,Ek Villain,2014,hindi,2010s,Mohit Suri,,male,6.6,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1188982,Jai Ho,2014,hindi,2010s,Sohail Khan,,male,5.1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3173910,Hasee Toh Phasee,2014,hindi,2010s,Vinil Mathew,,male,6.8,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3495000,Mardaani,2014,hindi,2010s,Pradeep Sarkar,,male,7.3,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt3678938,Humpty Sharma Ki Dulhania,2014,hindi,2010s,Shashank Khaitan,,male,6.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
piku_2015,Piku,2015,hindi,2010s,Shoojit Sircar,Deepika Padukone,female,7.9,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
tt3682448,Bridge of Spies,2015,hindi,2010s,Steven Spielberg,,male,7.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
tt3863552,Bajrangi Bhaijaan,2015,hindi,2010s,Kabir Khan,,male,8.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4430212,Drishyam,2015,hindi,2010s,Nishikant Kamat,,male,8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3848892,Baby,2015,hindi,2010s,Neeraj Pandey,,male,7.9,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt4934950,Talvar,2015,hindi,2010s,Meghna Gulzar,,male,8.1,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt3735246,Bajirao Mastani,2015,hindi,2010s,Sanjay Leela Bhansali,,male,7.3,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
tt4535650,Dilwale,2015,hindi,2010s,Rohit Shetty,,male,5.1,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3148502,Tamasha,2015,hindi,2010s,Imtiaz Ali,,male,7.4,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4635372,Masaan,2015,hindi,2010s,Neeraj Ghaywan,,male,8.1,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2140465,Tanu Weds Manu Returns,2015,hindi,2010s,Aanand L. Rai,,male,7.6,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2424988,Gabbar Is Back,2015,hindi,2010s,Radhakrishna Jagarlamudi,,male,7.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3678782,Badlapur,2015,hindi,2010s,Sriram Raghavan,,male,7.4,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
tt3595298,Prem Ratan Dhan Payo,2015,hindi,2010s,Sooraj R. Barjatya,,male,4.4,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3447364,Detective Byomkesh Bakshi,2015,hindi,2010s,Dibakar Banerjee,,male,7.6,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3495030,Dum Laga Ke Haisha,2015,hindi,2010s,Sharat Katariya,,male,7.4,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4110568,Dil Dhadakne Do,2015,hindi,2010s,Zoya Akhtar,,male,7.1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3449292,Manjhi: The Mountain Man,2015,hindi,2010s,Ketan Mehta,,male,8.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3802576,Brothers,2015,hindi,2010s,Karan Malhotra,,male,6.4,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt3742284,NH10,2015,hindi,2010s,Navdeep Singh,,male,7.2,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
dangal_2016,Dangal,2016,hindi,2010s,Nitesh Tiwari,Aamir Khan,female,8.3,False,False,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,True
pink_2016,Pink,2016,hindi,2010s,Aniruddha Roy Chowdhury,Amitabh Bachchan,female,8.1,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
tt4169250,M.S.Dhoni : The Untold Story,2016,hindi,2010s,Neeraj Pandey,,male,8.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4387040,Airlift,2016,hindi,2010s,Raja Krishna Menon,,male,7.9,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4832640,Sultan,2016,hindi,2010s,Ali Abbas Zafar,,male,7.1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt3495026,FAN,2016,hindi,2010s,Maneesh Sharma,,male,6.8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5946128,Dear Zindagi,2016,hindi,2010s,Gauri Shinde,,male,7.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt4434004,Udta Punjab,2016,hindi,2010s,Abhishek Chaubey,,male,7.7,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
tt4900716,Kapoor & Sons,2016,hindi,2010s,Shakun Batra,,male,7.7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt5165344,Rustom,2016,hindi,2010s,Tinu Suresh Desai,,male,7.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
